block,occupancy_idx,path_idx,phase_idx,label,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,config_hash
confirmation,3,3,2,static_only,221004,0,724003,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path03_phase02_static_only,90af02170d880284
confirmation,3,3,2,mobile_plus_spin_density,221004,324004,724003,24a8a5d60166062d,bb90bf94bdabb357,confirmation_occ003_path03_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,3,3,3,static_only,221004,0,724004,24a8a5d60166062d,119453dbc27fd326,confirmation_occ003_path03_phase03_static_only,90af02170d880284
confirmation,3,3,3,mobile_plus_spin_density,221004,324004,724004,24a8a5d60166062d,bb90bf94bdabb357,confirmation_occ003_path03_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,4,0,0,static_only,221005,0,821001,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path00_phase00_static_only,90af02170d880284
confirmation,4,0,0,mobile_plus_spin_density,221005,325001,821001,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,4,0,1,static_only,221005,0,821002,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path00_phase01_static_only,90af02170d880284
confirmation,4,0,1,mobile_plus_spin_density,221005,325001,821002,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,4,0,2,static_only,221005,0,821003,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path00_phase02_static_only,90af02170d880284
confirmation,4,0,2,mobile_plus_spin_density,221005,325001,821003,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,4,0,3,static_only,221005,0,821004,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path00_phase03_static_only,90af02170d880284
confirmation,4,0,3,mobile_plus_spin_density,221005,325001,821004,a6a7a0a42e618f3a,7f33654a65584ee2,confirmation_occ004_path00_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,4,1,0,static_only,221005,0,822001,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path01_phase00_static_only,90af02170d880284
confirmation,4,1,0,mobile_plus_spin_density,221005,325002,822001,a6a7a0a42e618f3a,204b6b92deaa61ba,confirmation_occ004_path01_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,4,1,1,static_only,221005,0,822002,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path01_phase01_static_only,90af02170d880284
confirmation,4,1,1,mobile_plus_spin_density,221005,325002,822002,a6a7a0a42e618f3a,204b6b92deaa61ba,confirmation_occ004_path01_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,4,1,2,static_only,221005,0,822003,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path01_phase02_static_only,90af02170d880284
confirmation,4,1,2,mobile_plus_spin_density,221005,325002,822003,a6a7a0a42e618f3a,204b6b92deaa61ba,confirmation_occ004_path01_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,4,1,3,static_only,221005,0,822004,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path01_phase03_static_only,90af02170d880284
confirmation,4,1,3,mobile_plus_spin_density,221005,325002,822004,a6a7a0a42e618f3a,204b6b92deaa61ba,confirmation_occ004_path01_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,4,2,0,static_only,221005,0,823001,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path02_phase00_static_only,90af02170d880284
confirmation,4,2,0,mobile_plus_spin_density,221005,325003,823001,a6a7a0a42e618f3a,fb184ef6ba2d4716,confirmation_occ004_path02_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,4,2,1,static_only,221005,0,823002,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path02_phase01_static_only,90af02170d880284
confirmation,4,2,1,mobile_plus_spin_density,221005,325003,823002,a6a7a0a42e618f3a,fb184ef6ba2d4716,confirmation_occ004_path02_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,4,2,2,static_only,221005,0,823003,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path02_phase02_static_only,90af02170d880284
confirmation,4,2,2,mobile_plus_spin_density,221005,325003,823003,a6a7a0a42e618f3a,fb184ef6ba2d4716,confirmation_occ004_path02_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,4,2,3,static_only,221005,0,823004,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path02_phase03_static_only,90af02170d880284
confirmation,4,2,3,mobile_plus_spin_density,221005,325003,823004,a6a7a0a42e618f3a,fb184ef6ba2d4716,confirmation_occ004_path02_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,4,3,0,static_only,221005,0,824001,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path03_phase00_static_only,90af02170d880284
confirmation,4,3,0,mobile_plus_spin_density,221005,325004,824001,a6a7a0a42e618f3a,4ffb5884c0c81096,confirmation_occ004_path03_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,4,3,1,static_only,221005,0,824002,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path03_phase01_static_only,90af02170d880284
confirmation,4,3,1,mobile_plus_spin_density,221005,325004,824002,a6a7a0a42e618f3a,4ffb5884c0c81096,confirmation_occ004_path03_phase01_mobile_plus_spin_density,90af02170d880284
confirmation,4,3,2,static_only,221005,0,824003,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path03_phase02_static_only,90af02170d880284
confirmation,4,3,2,mobile_plus_spin_density,221005,325004,824003,a6a7a0a42e618f3a,4ffb5884c0c81096,confirmation_occ004_path03_phase02_mobile_plus_spin_density,90af02170d880284
confirmation,4,3,3,static_only,221005,0,824004,a6a7a0a42e618f3a,9d901330b7aab6d4,confirmation_occ004_path03_phase03_static_only,90af02170d880284
confirmation,4,3,3,mobile_plus_spin_density,221005,325004,824004,a6a7a0a42e618f3a,4ffb5884c0c81096,confirmation_occ004_path03_phase03_mobile_plus_spin_density,90af02170d880284
confirmation,5,0,0,static_only,221006,0,921001,97c0f99961733de4,5f0a0c397e9824cb,confirmation_occ005_path00_phase00_static_only,90af02170d880284
confirmation,5,0,0,mobile_plus_spin_density,221006,326001,921001,97c0f99961733de4,97505fe1e0e8552a,confirmation_occ005_path00_phase00_mobile_plus_spin_density,90af02170d880284
confirmation,5,0,1,static_only,221006,0,921002,97c0f99961733de4,5f0a0c397e9824cb,confirmation_occ005_path00_phase01_static_only,90af02170d880284
