stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,xi2_db_fixed,xi2_db_min,fixed_time,time_at_min,N_eff_fixed,active_bonds_fixed,runtime_seconds,config_hash
stage5c2d,confirmation,3x3x3,27,static_only,2,1,2,221003,0,622003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase02_static_only,-3.2868143119068707,-4.6038983549043095,0.9227272727272726,1.4,22.0,37.0,0.3051898750127293,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,1,2,221003,323002,622003,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase02_mobile_plus_spin_density,-3.1211279561671668,-3.4016299960877756,0.9227272727272726,1.018181818181818,22.0,37.0,0.3052377919666469,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,1,3,221003,0,622004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path01_phase03_static_only,-3.5248372774765393,-4.757832450410032,0.9227272727272726,1.4,22.0,37.0,0.30905108398292214,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,1,3,221003,323002,622004,8c79803ac1513d81,f0c41f0711e39685,confirmation_occ002_path01_phase03_mobile_plus_spin_density,-3.446550401765654,-3.7143730428075488,0.9227272727272726,1.018181818181818,22.0,37.0,0.3102988330065273,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,2,0,221003,0,623001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase00_static_only,-3.4784317448929816,-4.701278574895476,0.9227272727272726,1.4,22.0,37.0,0.31079912499990314,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,2,0,221003,323003,623001,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase00_mobile_plus_spin_density,-2.726306067810887,-3.759627971470615,0.9227272727272726,1.4,22.0,36.0,0.3026411670143716,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,2,1,221003,0,623002,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase01_static_only,-3.3910175154371744,-4.570819461679187,0.9227272727272726,1.4,22.0,37.0,0.31060737499501556,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,2,1,221003,323003,623002,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase01_mobile_plus_spin_density,-2.8007178424618857,-3.834812945835233,0.9227272727272726,1.4,22.0,36.0,0.3023929580231197,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,2,2,221003,0,623003,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase02_static_only,-3.3467363240173564,-4.609085962500131,0.9227272727272726,1.4,22.0,37.0,0.310320042015519,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,2,2,221003,323003,623003,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase02_mobile_plus_spin_density,-2.46138478850496,-3.494264262608258,0.9227272727272726,1.4,22.0,36.0,0.30199687503045425,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,2,3,221003,0,623004,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path02_phase03_static_only,-3.574718609594295,-4.770675338615765,0.9227272727272726,1.4,22.0,37.0,0.30939458298962563,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,2,2,3,221003,323003,623004,8c79803ac1513d81,6373a18372018f3a,confirmation_occ002_path02_phase03_mobile_plus_spin_density,-2.7159504716799776,-3.7567861177087503,0.9227272727272726,1.4,22.0,36.0,0.3017952090012841,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,2,3,0,221003,0,624001,8c79803ac1513d81,4ab12fcdacdfd502,confirmation_occ002_path03_phase00_static_only,-3.3383486181450808,-4.56293985973348,0.9227272727272726,1.4,22.0,37.0,0.3097926659975201,90af02170d880284
